2023-03-09 17:23:57,688 INFO    MainThread:30288 [wandb_setup.py:_flush():76] Configure stats pid to 30288
2023-03-09 17:23:57,689 INFO    MainThread:30288 [wandb_setup.py:_flush():76] Loading settings from /home/gechengze/.config/wandb/settings
2023-03-09 17:23:57,689 INFO    MainThread:30288 [wandb_setup.py:_flush():76] Loading settings from /home/gechengze/project/nlp-notebook/models/wandb/settings
2023-03-09 17:23:57,689 INFO    MainThread:30288 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-09 17:23:57,689 INFO    MainThread:30288 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-09 17:23:57,689 INFO    MainThread:30288 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-09 17:23:57,690 INFO    MainThread:30288 [wandb_init.py:_log_setup():506] Logging user logs to /home/gechengze/project/nlp-notebook/models/wandb/run-20230309_172357-npoy65ad/logs/debug.log
2023-03-09 17:23:57,690 INFO    MainThread:30288 [wandb_init.py:_log_setup():507] Logging internal logs to /home/gechengze/project/nlp-notebook/models/wandb/run-20230309_172357-npoy65ad/logs/debug-internal.log
2023-03-09 17:23:57,690 INFO    MainThread:30288 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f65c4299a90>
2023-03-09 17:23:57,691 INFO    MainThread:30288 [wandb_init.py:init():546] calling init triggers
2023-03-09 17:23:57,691 INFO    MainThread:30288 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-03-09 17:23:57,691 INFO    MainThread:30288 [wandb_init.py:init():602] starting backend
2023-03-09 17:23:57,691 INFO    MainThread:30288 [wandb_init.py:init():606] setting up manager
2023-03-09 17:23:57,691 INFO    MainThread:30288 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-09 17:23:57,693 INFO    MainThread:30288 [wandb_init.py:init():613] backend started and connected
2023-03-09 17:23:57,701 INFO    MainThread:30288 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2023-03-09 17:23:57,702 INFO    MainThread:30288 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-09 17:23:57,702 INFO    MainThread:30288 [wandb_init.py:init():701] updated telemetry
2023-03-09 17:23:57,813 INFO    MainThread:30288 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-09 17:23:58,557 INFO    MainThread:30288 [wandb_run.py:_on_init():2131] communicating current version
2023-03-09 17:23:59,181 INFO    MainThread:30288 [wandb_run.py:_on_init():2140] got version response 
2023-03-09 17:23:59,181 INFO    MainThread:30288 [wandb_init.py:init():789] starting run threads in backend
2023-03-09 17:24:03,442 INFO    MainThread:30288 [wandb_run.py:_console_start():2112] atexit reg
2023-03-09 17:24:03,442 INFO    MainThread:30288 [wandb_run.py:_redirect():1967] redirect: SettingsConsole.WRAP_RAW
2023-03-09 17:24:03,442 INFO    MainThread:30288 [wandb_run.py:_redirect():2032] Wrapping output streams.
2023-03-09 17:24:03,442 INFO    MainThread:30288 [wandb_run.py:_redirect():2057] Redirects installed.
2023-03-09 17:24:03,442 INFO    MainThread:30288 [wandb_init.py:init():831] run started, returning control to user process
2023-03-09 17:34:02,484 INFO    MainThread:30288 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-03-09 17:34:02,484 INFO    MainThread:30288 [wandb_init.py:_pause_backend():417] pausing backend
