2023-03-10 13:58:07,286 INFO    StreamThr :37188 [internal.py:wandb_internal():87] W&B internal server running at pid: 37188, started at: 2023-03-10 13:58:07.284603
2023-03-10 13:58:07,288 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: status
2023-03-10 13:58:07,293 INFO    WriterThread:37188 [datastore.py:open_for_write():85] open: /home/gechengze/project/nlp-notebook/models/wandb/run-20230310_135755-lvbsk0ag/run-lvbsk0ag.wandb
2023-03-10 13:58:07,294 DEBUG   SenderThread:37188 [sender.py:send():336] send: header
2023-03-10 13:58:07,294 DEBUG   SenderThread:37188 [sender.py:send():336] send: run
2023-03-10 13:58:08,131 INFO    SenderThread:37188 [dir_watcher.py:__init__():219] watching files in: /home/gechengze/project/nlp-notebook/models/wandb/run-20230310_135755-lvbsk0ag/files
2023-03-10 13:58:08,131 INFO    SenderThread:37188 [sender.py:_start_run_threads():1078] run started: lvbsk0ag with start time 1678427886.293285
2023-03-10 13:58:08,131 DEBUG   SenderThread:37188 [sender.py:send_request():363] send_request: summary_record
2023-03-10 13:58:08,131 INFO    SenderThread:37188 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-03-10 13:58:08,133 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: check_version
2023-03-10 13:58:08,133 DEBUG   SenderThread:37188 [sender.py:send_request():363] send_request: check_version
2023-03-10 13:58:08,489 DEBUG   HandlerThread:37188 [handler.py:handle_request():144] handle_request: run_start
2023-03-10 13:58:08,489 DEBUG   HandlerThread:37188 [system_info.py:__init__():31] System info init
2023-03-10 13:58:08,490 DEBUG   HandlerThread:37188 [system_info.py:__init__():46] System info init done
2023-03-10 13:58:08,490 INFO    HandlerThread:37188 [system_monitor.py:start():183] Starting system monitor
2023-03-10 13:58:08,490 INFO    SystemMonitor:37188 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-03-10 13:58:08,490 INFO    HandlerThread:37188 [system_monitor.py:probe():204] Collecting system info
2023-03-10 13:58:08,490 INFO    SystemMonitor:37188 [interfaces.py:start():187] Started cpu monitoring
2023-03-10 13:58:08,490 INFO    SystemMonitor:37188 [interfaces.py:start():187] Started disk monitoring
2023-03-10 13:58:08,491 INFO    SystemMonitor:37188 [interfaces.py:start():187] Started gpu monitoring
2023-03-10 13:58:08,491 INFO    SystemMonitor:37188 [interfaces.py:start():187] Started memory monitoring
2023-03-10 13:58:08,491 INFO    SystemMonitor:37188 [interfaces.py:start():187] Started network monitoring
2023-03-10 13:58:08,510 DEBUG   HandlerThread:37188 [system_info.py:probe():195] Probing system
2023-03-10 13:58:08,511 DEBUG   HandlerThread:37188 [system_info.py:_probe_git():180] Probing git
2023-03-10 13:58:08,519 DEBUG   HandlerThread:37188 [system_info.py:_probe_git():188] Probing git done
2023-03-10 13:58:08,519 DEBUG   HandlerThread:37188 [system_info.py:probe():240] Probing system done
