2023-03-10 14:45:54,610 INFO    MainThread:38250 [wandb_setup.py:_flush():76] Configure stats pid to 38250
2023-03-10 14:45:54,611 INFO    MainThread:38250 [wandb_setup.py:_flush():76] Loading settings from /home/gechengze/.config/wandb/settings
2023-03-10 14:45:54,611 INFO    MainThread:38250 [wandb_setup.py:_flush():76] Loading settings from /home/gechengze/project/nlp-notebook/models/wandb/settings
2023-03-10 14:45:54,611 INFO    MainThread:38250 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-10 14:45:54,611 INFO    MainThread:38250 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-10 14:45:54,611 INFO    MainThread:38250 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-10 14:45:54,611 INFO    MainThread:38250 [wandb_init.py:_log_setup():506] Logging user logs to /home/gechengze/project/nlp-notebook/models/wandb/run-20230310_144554-ii1l2h1d/logs/debug.log
2023-03-10 14:45:54,611 INFO    MainThread:38250 [wandb_init.py:_log_setup():507] Logging internal logs to /home/gechengze/project/nlp-notebook/models/wandb/run-20230310_144554-ii1l2h1d/logs/debug-internal.log
2023-03-10 14:45:54,612 INFO    MainThread:38250 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7ff2021d73a0>
2023-03-10 14:45:54,612 INFO    MainThread:38250 [wandb_init.py:init():546] calling init triggers
2023-03-10 14:45:54,612 INFO    MainThread:38250 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-03-10 14:45:54,612 INFO    MainThread:38250 [wandb_init.py:init():602] starting backend
2023-03-10 14:45:54,612 INFO    MainThread:38250 [wandb_init.py:init():606] setting up manager
2023-03-10 14:45:54,613 INFO    MainThread:38250 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-10 14:45:54,614 INFO    MainThread:38250 [wandb_init.py:init():613] backend started and connected
2023-03-10 14:45:54,623 INFO    MainThread:38250 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2023-03-10 14:45:54,623 INFO    MainThread:38250 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-10 14:45:54,623 INFO    MainThread:38250 [wandb_init.py:init():701] updated telemetry
2023-03-10 14:45:54,703 INFO    MainThread:38250 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-10 14:45:55,464 INFO    MainThread:38250 [wandb_run.py:_on_init():2131] communicating current version
2023-03-10 14:45:56,046 INFO    MainThread:38250 [wandb_run.py:_on_init():2140] got version response 
2023-03-10 14:45:56,046 INFO    MainThread:38250 [wandb_init.py:init():789] starting run threads in backend
2023-03-10 14:46:00,387 INFO    MainThread:38250 [wandb_run.py:_console_start():2112] atexit reg
2023-03-10 14:46:00,387 INFO    MainThread:38250 [wandb_run.py:_redirect():1967] redirect: SettingsConsole.WRAP_RAW
2023-03-10 14:46:00,387 INFO    MainThread:38250 [wandb_run.py:_redirect():2032] Wrapping output streams.
2023-03-10 14:46:00,387 INFO    MainThread:38250 [wandb_run.py:_redirect():2057] Redirects installed.
2023-03-10 14:46:00,388 INFO    MainThread:38250 [wandb_init.py:init():831] run started, returning control to user process
2023-03-10 14:47:42,580 INFO    MainThread:38250 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-03-10 14:47:42,580 INFO    MainThread:38250 [wandb_init.py:_pause_backend():417] pausing backend
